,index,Covered in Warranty,Warranty Service Type,Processor Variant,Clock Speed,Finger Print Sensor,MS Office Provided,Weight,Processor Generation,Screen Resolution,Not Covered in Warranty,Speakers,Sales Package,Disk Drive,Suitable For,Backlit Keyboard,Touchscreen,Processor Name,Bluetooth,RAM Type,Screen Type,id,Domestic Warranty,Series,Operating System,Model Number,Screen Size,USB Port,SSD,Processor Brand,Internal Mic,Wireless LAN,Storage Type,Color,Battery Cell,Type,Keyboard,SSD Capacity,Warranty Summary,Model Name,Part Number,RAM,Graphic Processor,Web Camera,Power Supply,HDMI Port,Dimensions,OS Architecture,Face Recognition,Pointer Device,EMMC Storage Capacity,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,Refresh Rate,Battery Backup,Ethernet,Expandable Memory,Expandable SSD Capacity,Supported Operating System,Cache,Number of Cores,Mic In,Additional Features,Memory Slots,RAM Frequency,RJ45,Sound Properties,Lock Port,Security Chip,Chipset,RPM,Multi Card Slot,Hardware Interface,Sound Chip,Included Software,Antivirus,Inbuilt 4G LTE,Stylus Included,NFC Support,Wireless WAN,Laptop Bag,System Architecture,Brightness,RJ11,VGA Port,Color Gamut,TGP,Other Accessories,International Warranty,HDD Capacity,Dock Port,Firewire Port,Read/Write Speed,S-video,Certification,Recovery Options,Optane Memory,Rating,price,Link,Names
0,0,Manufacturing Defects,Carry-in,N305,Max Frequency Up to 3.8 GHz,,No,1.43 Kg,,1920 x 1080 Pixel,Physical damage,Yes,"Laptop, Power Adaptor, User Guide, Warranty Documents",Not Available,Processing & Multitasking,No,No,Core i3,v5.2,LPDDR5,Full HD IPS LED-backlit LCD Dislpay,0,,Chromebook Plus Google AI,Chrome,CB514-4H-39T7,35.56 cm (14 Inch),"2 x USB 3.2 Gen 1 Type-A port, 2 x USB 3.2 Gen 1 Type-C port",Yes,Intel,Yes,Intel Wireless Wi-Fi 6E AX211,SSD,Steel Gray,3 Cell,Chromebook,Acer FineTip keyboard with international language support,256 GB,1 Year Carry-in Warranty,Chromebook Plus,NX.KUTSI.002,8 GB,Intel Integrated UHD,"FHD camera, 1920 x 1080 Resolution, 1080p video at 60 fps with Temporal Noise Reduction, Support ROI feature, Support HDR feature, Dual Mic",45 W,NA,326.87 x 224.93 x 20.5 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,"₹19,990",https://www.flipkart.com/acer-chromebook-plus-google-ai-intel-core-i3-n305-8-gb-256-gb-ssd-chrome-os-cb514-4h-39t7/p/itm5542cc6900ec1?pid=COMHFC9KE39WGHMA&lid=LSTCOMHFC9KE39WGHMADEYWXV&marketplace=FLIPKART&q=LAPTOP&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_fRJOaC2GPthCfyTRfiZ8rh5BnKqvTos32qn0bFJqvmo2n3MT25NrHYLYJ3Auag8YBknPMKhFC62czBzeMOv-8fUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=ib4twxskw00000001738140548394&qH=eefe54b149d5f44e,Acer Chromebook Plus Google AI Intel Core i3 N305 - (8 GB/256 GB SSD/Chrome OS) CB514-4H-39T7 Chromebo...
1,0,Manufacturing Defects,Onsite,1235U,Max turbo frequency at 4.4 Ghz,No,No,1.45 Kg,12th Gen,1920 x 1080 Pixel,Physical Damage,Two built-in stereo speakers,"Laptop, Power Adaptor, User Guide, Warranty Documents",Not Available,Everyday Use,Yes,No,Core i5,v5.2,DDR4,"Full HD display with IPS (In-Plane Switching) technology, LED-backlit TFT LCD",1,,Aspire 3 Backlit,Windows 11 Home,A324-51,35.56 cm (14 Inch),,Yes,Intel,Yes,WIFI 6,SSD,Steel Gray,2 cell,Thin and Light Laptop,84-key Acer backlit keyboard layout with US language,512 GB,1 Year Domestic Warranty,A324-51,UN.343SI.003,16 GB,Intel Integrated Intel Graphics,2M With Privacy Camera Shutter,65 W,1x HDMI Port,321.7 x 206.6 x 19.4 mm,64 bit,No,Touchpad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,"₹44,990",https://www.flipkart.com/acer-aspire-3-backlit-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-a324-51-thin-light-laptop/p/itm4fa0fcf0e2e15?pid=COMHY24RMZ8PUDTT&lid=LSTCOMHY24RMZ8PUDTT6GAEHA&marketplace=FLIPKART&q=LAPTOP&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_fRJOaC2GPthCfyTRfiZ8rh5BnKqvTos32qn0bFJqvmrQWlssuQQp9heQucwhP8CiGCHdUBrM91b89Fdejw8jKvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=ib4twxskw00000001738140548394&qH=eefe54b149d5f44e,Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin a...
2,0,Manufacturing Defects,Carry-in,,,,No,1.34 Kg,,1366 x 768 Pixel,Physical Damage,Yes,"Laptop, Power Adaptor, User Guide, Warranty Documents",Not Available,Processing & Multitasking,,Yes,MT8183,v4.2,LPDDR4X,"HD, touch, IPS, anti-glare, 220 nits, 50% NTSC",2,,Touch Chromebook,Chrome,11MK G9,29.46 cm (11.6 Inch),"1 x USB 2.0 Type-A, 1 x SuperSpeed USB Type-C 5Gbps signaling rate",No,MediaTek,Yes,Qualcomm Atheros QCA6174A-5 802.11a/b/g/n/ac (2x2) Wi-Fi,eMMC,Black,,Chromebook,"Spill resistant, full-size, Chrome keyboard with skirt anchored keycaps",,1 Year Carry-in Warranty,11MK G9,7D2W1PC#ACJ,4 GB,MediaTek Integrated ARM Mali G72 MP3 Graphics,720p HD camera,,,295 x 205.3 x 18.8 mm,,,,32 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,"₹11,988",https://www.flipkart.com/hp-touch-chromebook-mediatek-mt8183-4-gb-32-gb-emmc-storage-chrome-os-11mk-g9/p/itmbcfcbc0ab424f?pid=COMGZFFXQ9GEXPVR&lid=LSTCOMGZFFXQ9GEXPVR8ZDRE7&marketplace=FLIPKART&q=LAPTOP&store=6bo%2Fb5g&spotlightTagId=TrendingId_6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=4f94899e-6cae-4c8e-82ad-6ebb1dfd2a8e.COMGZFFXQ9GEXPVR.SEARCH&ppt=None&ppn=None&ssid=ib4twxskw00000001738140548394&qH=eefe54b149d5f44e,HP Touch Chromebook MediaTek MT8183 - (4 GB/32 GB EMMC Storage/Chrome OS) 11MK G9 Chromebook
3,0,Manufacturing Defects,Onsite,12450H,1.5 GHz upto Max turbo frequency at 4.40 Ghz,,No,1.86 Kg,12th Gen,1920 x 1080 Pixel,"Physical Damage, Burn, Liquid Spill",Yes,"Laptop,Battery,Power Adapter, User Guide",Not Available,Gaming,,No,Core i5,v5.3,DDR4,"Full HD, 144Hz 45%NTSC IPS-Level",3,,Thin 15,Windows 11 Home,Thin 15 B12UCX-1695IN,39.62 cm (15.6 Inch),"1 x Type-C (USB3.2 Gen1 / DP), 3 x Type-A USB3.2 Gen1",Yes,Intel,Yes,802.11 ax Wi-Fi 6E,SSD,Cosmos Gray,,Gaming Laptop,Blue Backlit Gaming Keyboard,512 GB,2 Year Onsite Warranty,Thin 15 B12UCX-1695IN,9S7-16R831-1695,16 GB,NVIDIA GeForce RTX 2050,HD type (30fps@720p),,1x HDMI (4K @ 30Hz),359 x 254 x 21.7 mm,,No,,,GDDR6,4 GB,144 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,"₹51,990",https://www.flipkart.com/msi-thin-15-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-144-hz-b12ucx-1695in-gaming-laptop/p/itmc1581367ea4e2?pid=COMGYSFG4WHPVAVZ&lid=LSTCOMGYSFG4WHPVAVZ6L3G5Q&marketplace=FLIPKART&q=LAPTOP&store=6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=4f94899e-6cae-4c8e-82ad-6ebb1dfd2a8e.COMGYSFG4WHPVAVZ.SEARCH&ppt=None&ppn=None&ssid=ib4twxskw00000001738140548394&qH=eefe54b149d5f44e,MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...
4,0,Manufacturing Defects,Onsite,1215U,0.9 GHz upto max turbo frequency at 4.4 Ghz,,Yes,1.69 Kg,12th Gen,1920 x 1080 Pixel,Physical Damage,Yes,"Laptop, battery, power adapter, user guide",Not Available,Processing & Multitasking,No,No,Core i3,v5.0,DDR4,"Full HD, micro-edge, anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC",4,,15s,Windows 11 Home,15s-fy5003TU,39.62 cm (15.6 inch),"1 x USB Type-C 5Gbps signaling rate, 2 x USB Type-A 5Gbps signaling rate",Yes,Intel,Yes,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2),SSD,Natural Silver,3 Cell,Thin and Light Laptop,"Full-size, natural silver keyboard with numeric keypad",512 GB,1 Year Onsite Warranty,15s-fy5003TU,7Q700PA#ACJ,8 GB,Intel Integrated UHD,HP True Vision 720p HD camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,"₹37,990",https://www.flipkart.com/hp-15s-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-15s-fy5003tu-thin-light-laptop/p/itm2977a9ca00317?pid=COMGZVGHE9QU8C6M&lid=LSTCOMGZVGHE9QU8C6MHJQTO4&marketplace=FLIPKART&q=LAPTOP&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=4f94899e-6cae-4c8e-82ad-6ebb1dfd2a8e.COMGZVGHE9QU8C6M.SEARCH&ppt=None&ppn=None&ssid=ib4twxskw00000001738140548394&qH=eefe54b149d5f44e,HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light La...
5,0,Manufacturing Defects,Carry-in,N4020,1.10 GHz with Max Turbo Boost Frequency Up to 2.80 GHz,,Yes,1.3 Kg,,1366 x 768 Pixel,Physical Damage,Yes,"Laptop, Power Adaptor, User Guide, Warranty Documents",Not Available,Processing & Multitasking,,No,Celeron Dual Core,v5.1,DDR4,"HD, TN 220nits Anti-glare",5,,IdeaPad 1,Windows 11 Home,14IGL7,35.56 cm (14 Inch),"1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer only)",Yes,Intel,Yes,11ac 2x2,SSD,Cloud Grey,,Thin and Light Laptop,"Non-backlit, English",512 GB,1 Yr. Onsite,14IGL7,82V6009LIN|82V6009TIN,8 GB,Intel Integrated UHD,HD 720p with Privacy Shutter,45 W,1 x HDMI 1.4b,325.3 x 216.5 x 17.9 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,"₹23,990",https://www.flipkart.com/lenovo-ideapad-1-intel-celeron-dual-core-n4020-8-gb-512-gb-ssd-windows-11-home-14igl7-thin-light-laptop/p/itm146632ae84dbc?pid=COMHFYZ3CN5WHUR8&lid=LSTCOMHFYZ3CN5WHUR8KHN4RK&marketplace=FLIPKART&q=LAPTOP&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=en_fRJOaC2GPthCfyTRfiZ8rh5BnKqvTos32qn0bFJqvmrIuOZpJN64fcF1sxL7xwbejaZ2UgMNxTic_KSxf2PJoX3Gaq_wzx4HJysDmGalzMk%3D&ppt=None&ppn=None&ssid=ib4twxskw00000001738140548394&qH=eefe54b149d5f44e,Lenovo IdeaPad 1 Intel Celeron Dual Core N4020 - (8 GB/512 GB SSD/Windows 11 Home) 14IGL7 Thin and Lig...
6,0,Manufacturing Defects,"please call the ASUS Customer Support - 
1800-2090365 
rc_india@asus.com",1215U,Base frequency 0.9 GHz upto Max Turbo Frequency 4.4 GHz,No,Yes,1.70 Kg,12th Gen,1920 x 1080 Pixel,Physical Damage,Built-in speaker,"Laptop, Power Adaptor, User Guide, Warranty Documents",Not Available,Processing & Multitasking,,No,Core i3,v5.3,DDR4,"Full HD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display",6,,Vivobook 15,Windows 11 Home,X1504ZA-NJ322WS,39.62 cm (15.6 Inch),"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",Yes,Intel,Built-in array microphone,Wi-Fi 6E(802.11ax) (Dual band) 1*1,SSD,Cool Silver,,Thin and Light Laptop,Backlit Chiclet Keyboard,512 GB,1 Year Onsite Warranty,X1504ZA-NJ322WS,90NB1022-M00AF0,8 GB,Intel Integrated UHD,720p HD camera With privacy shutter,,,359.7 x 232.5 x 17.9 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,"₹31,990",https://www.flipkart.com/asus-vivobook-15-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj322ws-thin-light-laptop/p/itm200184e4e0443?pid=COMH4Y6KT9ZMYXA6&lid=LSTCOMH4Y6KT9ZMYXA60HIRLB&marketplace=FLIPKART&q=LAPTOP&store=6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=4f94899e-6cae-4c8e-82ad-6ebb1dfd2a8e.COMH4Y6KT9ZMYXA6.SEARCH&ppt=None&ppn=None&ssid=ib4twxskw00000001738140548394&qH=eefe54b149d5f44e,ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ322WS Thin...
7,0,Manufacturing Defects,Onsite,1215U,Max Turbo Frequency upto 4.4GHz,,Yes,1.70 Kg,12th Gen,1920 x 1080 Pixel,Physical Damage,Yes,"Laptop, Power Adaptor, User Guide, Warranty Documents",Not Available,Processing & Multitasking,,No,Core i3,v5.3,DDR4,"Full HD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display",7,,Vivobook 15,Windows 11 Home,X1504ZA-NJ342WS,39.62 cm (15.6 Inch),"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",Yes,Intel,Yes,Wi-Fi 6E(802.11ax) (Dual band) 1*1,SSD,Cool Silver,,Thin and Light Laptop,Backlit Chiclet Keyboard,512 GB,1 Year Onsite Warranty,X1504ZA-NJ342WS,90NB1022-M029K0,16 GB,Intel Integrated UHD,720p HD camera With privacy shutter,,,359.7 x 232.5 x 17.9 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,"₹54,990",https://www.flipkart.com/asus-vivobook-15-intel-core-i3-12th-gen-1215u-16-gb-512-gb-ssd-windows-11-home-x1504za-nj342ws-thin-light-laptop/p/itm200184e4e0443?pid=COMH3BKW6EQAZAWC&lid=LSTCOMH3BKW6EQAZAWCJ4JQRL&marketplace=FLIPKART&q=LAPTOP&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=4f94899e-6cae-4c8e-82ad-6ebb1dfd2a8e.COMH3BKW6EQAZAWC.SEARCH&ppt=None&ppn=None&ssid=ib4twxskw00000001738140548394&qH=eefe54b149d5f44e,ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ342WS Thi...
8,0,Manufacturing Defect,Onsite,1215U,Max turbo frequency at 4.4 Ghz,Yes,Yes,1.70 Kg,12th Gen,1920 x 1080 Pixel,Physical Damage,Yes,"Laptop, Power Adapter, Warranty Documents, User Manual",Not Available,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",No,No,Core i3,v5.3,DDR4,"Full HD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 220nits, 45% NTSC color gamut, Anti-glare display, TÜV Rheinland-certified",8,,Vivobook 15,Windows 11 Home,X1502ZA-EJ993WS,39.62 cm (15.6 Inch),"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",Yes,Intel,Yes,Wi-Fi 6(802.11ax) (Dual band) 2*2,SSD,Icelight Silver,,Thin and Light Laptop,Chiclet Keyboard,512 GB,1 Year Onsite Warranty,X1502ZA-EJ993WS,90NB0VX2-M02HB0,16 GB,Intel Integrated UHD,720p HD camera With privacy shutter,,,359.7 x 232.5 x 19.9 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,"₹34,990",https://www.flipkart.com/asus-vivobook-15-intel-core-i3-12th-gen-1215u-16-gb-512-gb-ssd-windows-11-home-x1502za-ej993ws-thin-light-laptop/p/itm3b11f9400fcd8?pid=COMGS7M3HHJQYVKB&lid=LSTCOMGS7M3HHJQYVKBRTO2VL&marketplace=FLIPKART&q=LAPTOP&store=6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=4f94899e-6cae-4c8e-82ad-6ebb1dfd2a8e.COMGS7M3HHJQYVKB.SEARCH&ppt=None&ppn=None&ssid=ib4twxskw00000001738140548394&qH=eefe54b149d5f44e,ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ993WS Thi...
9,0,Manufacturing Defects,Onsite,1215U,Up to 4.4 GHz,,Yes,,12th Gen,1920 x 1080 pixel,Physical Damage,,"Laptop, Power Adaptor, User Guide, Warranty Documents",Not Available,Travel & Business,,No,Core i3,YES,DDR4,"Full HD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display",9,,"Vivobook 15, with Backlit Keyboard,",Windows 11 Home,X1504ZA-NJ321WS,39.62 cm (15.6 Inch),"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",Yes,Intel,,,SSD,Quiet Blue,,Thin and Light Laptop,,512 GB,1-year warranty,Vivobook 15,90NB1021-M00580,8 GB,Intel Integrated Integrated Intel® UHD Graphics,720p HD camera With privacy shutter,,,,,,,,,,,UPTO 8 HRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,"₹33,490",https://www.flipkart.com/asus-vivobook-15-backlit-keyboard-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj321ws-thin-light-laptop/p/itmbe5bbf6a5168b?pid=COMGT2ZXC24MFNFA&lid=LSTCOMGT2ZXC24MFNFAH8MFND&marketplace=FLIPKART&q=LAPTOP&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=4f94899e-6cae-4c8e-82ad-6ebb1dfd2a8e.COMGT2ZXC24MFNFA.SEARCH&ppt=None&ppn=None&ssid=ib4twxskw00000001738140548394&qH=eefe54b149d5f44e,"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Ho..."
